EmbeddedDomain,IPAdress,NumberOfDotsInURL,SuspiciousURL,NumberOfSensitiveWordsInURL,OutOfPositionTopLevelDomain,BadForms,BadActionFields,NonMatchingURLs,OutOfPositionBrandName,WebPageSize,AgeOfDomain,VirusTotalDomainReputation,XForceDomainReputation,PageRank,Label
0,0,3,1,0,0,0,0,1,0,730557,0,19,1,0,1
0,0,3,1,0,0,0,0,1,0,730569,0,21,1,0,1
0,0,2,1,0,0,0,0,1,0,40132,0,7,0,0,1
0,0,2,0,0,0,0,0,-1,-1,477,1,13,1,0,1
0,0,2,0,0,0,-1,-1,1,0,118141,0,0,0,8,1
0,0,1,1,0,0,0,0,-1,0,953,1,0,-1,0,1
0,0,1,0,0,0,0,0,1,0,11214,1,10,-1,0,1
0,0,1,0,0,0,0,0,1,0,42982,0,0,1,5,1
0,0,3,0,0,0,0,0,-1,-1,190,0,2,0,2,1
0,0,2,1,0,0,0,0,-1,-1,2529,1,2,-1,0,1
0,0,4,1,2,0,0,0,1,0,6132,0,10,-1,0,1
0,0,3,1,0,0,0,0,0,0,45188,0,0,0,8,1
0,0,1,0,0,0,0,0,0,0,4754,0,0,-1,8,1
0,0,1,0,0,0,0,0,1,0,5027,0,0,-1,4,1
0,0,5,1,0,0,0,0,-1,-1,444095,0,12,0,0,1
0,0,2,0,0,0,-1,-1,1,0,118150,0,0,0,8,1
0,0,2,0,0,0,-1,-1,1,0,118453,0,0,0,8,1
0,0,1,0,0,0,0,0,1,0,6722,0,7,-1,4,1
0,0,1,0,0,0,0,0,1,0,17667,1,19,1,0,1
0,0,1,1,0,0,0,0,1,0,12200,1,18,1,0,1
0,0,2,0,0,0,0,0,1,0,1022,1,20,1,0,1
0,0,1,0,0,0,0,0,1,0,1022,1,20,1,0,1
0,0,2,1,1,0,0,0,1,0,5813,1,18,-1,0,1
0,0,1,0,0,0,0,0,1,0,42982,0,0,1,5,1
0,0,1,0,0,0,0,0,-1,-1,601,0,14,1,0,1
